code_insee|nom|epci|libepci
80578|MOYENNEVILLE|200070944|CC du Vimeu
80579|MUILLE-VILLETTE|200070985|CC de l'Est de la Somme
80580|NAMPONT|200070936|CC Ponthieu-Marquenterre
80582|NAMPS-MAISNIL|200071181|CC Somme Sud-Ouest
80583|NAMPTY|200071181|CC Somme Sud-Ouest
80584|NAOURS|200070951|CC du Territoire Nord Picardie
80585|NESLE|200070985|CC de l'Est de la Somme
80586|NESLE-L'HOPITAL|200071181|CC Somme Sud-Ouest
80587|NESLETTE|200071181|CC Somme Sud-Ouest
80588|NEUFMOULIN|200070993|CA de la Baie de Somme
80589|NEUILLY-LE-DIEN|200070936|CC Ponthieu-Marquenterre
80590|NEUILLY-L'HOPITAL|200070936|CC Ponthieu-Marquenterre
80591|NEUVILLE-AU-BOIS|200071181|CC Somme Sud-Ouest
80592|NEUVILLE-COPPEGUEULE|200071181|CC Somme Sud-Ouest
80593|NEUVILLE-LES-BRAY|248000747|CC du Pays du Coquelicot
80594|NEUVILLE-LES-LOEUILLY|200071181|CC Somme Sud-Ouest
80595|NEUVILLE-SIRE-BERNARD|200070969|CC Avre Luce Noye
80596|NEUVILLETTE|200070951|CC du Territoire Nord Picardie
80597|NIBAS|200070944|CC du Vimeu
80598|NOUVION|200070936|CC Ponthieu-Marquenterre
80599|NOYELLES-EN-CHAUSSEE|200070936|CC Ponthieu-Marquenterre
80600|NOYELLES-SUR-MER|200070936|CC Ponthieu-Marquenterre
80601|NURLU|200037059|CC de la Haute Somme
80602|OCCOCHES|200070951|CC du Territoire Nord Picardie
80603|OCHANCOURT|200070944|CC du Vimeu
80604|OFFIGNIES|200071181|CC Somme Sud-Ouest
80605|OFFOY|200070985|CC de l'Est de la Somme
80606|OISEMONT|200071181|CC Somme Sud-Ouest
80607|OISSY|200071181|CC Somme Sud-Ouest
80608|OMIECOURT|200070928|CC Terre de Picardie
80609|ONEUX|200070936|CC Ponthieu-Marquenterre
80611|ORESMAUX|200071181|CC Somme Sud-Ouest
80613|OUST-MAREST|247600588|CC des Villes Soeurs
80614|OUTREBOIS|200070951|CC du Territoire Nord Picardie
80615|OVILLERS-LA-BOISSELLE|248000747|CC du Pays du Coquelicot
80616|PARGNY|200070985|CC de l'Est de la Somme
80617|PARVILLERS-LE-QUESNOY|200070928|CC Terre de Picardie
80618|PENDE|200070993|CA de la Baie de Somme
80619|PERNOIS|200071223|CC Nièvre et Somme
80620|PERONNE|200037059|CC de la Haute Somme
80621|PERTAIN|200070928|CC Terre de Picardie
80622|PICQUIGNY|200071223|CC Nièvre et Somme
80623|PIENNES-ONVILLERS|200070977|CC du Grand Roye
80624|PIERREGOT|200070951|CC du Territoire Nord Picardie
80625|PIERREPONT-SUR-AVRE|200070969|CC Avre Luce Noye
80626|PISSY|248000531|CA Amiens Métropole
80627|PLACHY-BUYON|200071181|CC Somme Sud-Ouest
80628|PLESSIER-ROZAINVILLERS|200070969|CC Avre Luce Noye
80629|POEUILLY|200037059|CC de la Haute Somme
80630|POIX-DE-PICARDIE|200071181|CC Somme Sud-Ouest
80631|PONCHES-ESTRUVAL|200070936|CC Ponthieu-Marquenterre
80632|PONT-DE-METZ|248000531|CA Amiens Métropole
80633|PONTHOILE|200070936|CC Ponthieu-Marquenterre
80634|PONT-NOYELLES|200070951|CC du Territoire Nord Picardie
80635|PONT-REMY|200070936|CC Ponthieu-Marquenterre
80637|PORT-LE-GRAND|200070936|CC Ponthieu-Marquenterre
80638|POTTE|200070985|CC de l'Est de la Somme
80639|POULAINVILLE|248000531|CA Amiens Métropole
80640|POZIERES|248000747|CC du Pays du Coquelicot
80642|PROUVILLE|200070951|CC du Territoire Nord Picardie
80643|PROUZEL|200071181|CC Somme Sud-Ouest
80644|PROYART|200070928|CC Terre de Picardie
80645|PUCHEVILLERS|248000747|CC du Pays du Coquelicot
80646|PUNCHY|200070928|CC Terre de Picardie
80647|PUZEAUX|200070928|CC Terre de Picardie
80648|PYS|248000747|CC du Pays du Coquelicot
80649|QUEND|200070936|CC Ponthieu-Marquenterre
80650|QUERRIEU|200070951|CC du Territoire Nord Picardie
80651|QUESNE|200071181|CC Somme Sud-Ouest
80652|QUESNEL|200070969|CC Avre Luce Noye
80654|QUESNOY-LE-MONTANT|200070944|CC du Vimeu
80655|QUESNOY-SUR-AIRAINES|200071181|CC Somme Sud-Ouest
80656|QUEVAUVILLERS|200071181|CC Somme Sud-Ouest
80657|QUIRY-LE-SEC|200070969|CC Avre Luce Noye
80658|QUIVIERES|200070985|CC de l'Est de la Somme
80659|RAINCHEVAL|248000747|CC du Pays du Coquelicot
80661|RAINNEVILLE|200070951|CC du Territoire Nord Picardie
80662|RAMBURELLES|200069722|CC Interrégionale Aumale  Blangy-sur-Bresle
80663|RAMBURES|200071181|CC Somme Sud-Ouest
80664|RANCOURT|200037059|CC de la Haute Somme
80665|REGNIERE-ECLUSE|200070936|CC Ponthieu-Marquenterre
80666|REMAISNIL|200070951|CC du Territoire Nord Picardie
80667|REMAUGIES|200070977|CC du Grand Roye
80668|REMIENCOURT|248000531|CA Amiens Métropole
80669|RETHONVILLERS|200070985|CC de l'Est de la Somme
80670|REVELLES|248000531|CA Amiens Métropole
80671|RIBEAUCOURT|200071223|CC Nièvre et Somme
80672|RIBEMONT-SUR-ANCRE|248000499|CC du Val de Somme
80673|RIENCOURT|200071181|CC Somme Sud-Ouest
80674|RIVERY|248000531|CA Amiens Métropole
80675|ROGY|200070969|CC Avre Luce Noye
80676|ROIGLISE|200070977|CC du Grand Roye
80677|ROISEL|200037059|CC de la Haute Somme
80678|ROLLOT|200070977|CC du Grand Roye
80679|RONSSOY|200037059|CC de la Haute Somme
80680|ROSIERES-EN-SANTERRE|200070928|CC Terre de Picardie
80681|ROUVREL|200070969|CC Avre Luce Noye
80682|ROUVROY-EN-SANTERRE|200070928|CC Terre de Picardie
80683|ROUY-LE-GRAND|200070985|CC de l'Est de la Somme
80684|ROUY-LE-PETIT|200070985|CC de l'Est de la Somme
80685|ROYE|200070977|CC du Grand Roye
